course,date
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,2016-02-18
https://www.class-central.com/mooc/677/coursera-creativity-innovation-and-change,2015-07-08
https://www.class-central.com/mooc/2852/edx-entrepreneurship-102-do-you-have-a-product,2015-07-08
https://www.class-central.com/mooc/1781/edx-the-science-of-happiness,2015-07-08
https://www.class-central.com/mooc/1927/edx-becoming-a-resilient-person-the-science-of-stress-management,2015-07-08
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,2015-08-21
https://www.class-central.com/mooc/371/coursera-design-creation-of-artifacts-in-society,2015-08-21
https://www.class-central.com/mooc/1636/coursera-creative-problem-solving,2015-08-21
https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future,2015-08-21
https://www.class-central.com/mooc/1327/coursera-what-s-your-big-idea,2015-08-21
https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment,2015-08-21
https://www.class-central.com/mooc/1312/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1,2015-08-21
https://www.class-central.com/mooc/431/coursera-how-things-work-an-introduction-to-physics,2015-08-21
https://www.class-central.com/mooc/840/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship,2015-08-21
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,2015-08-21
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,2015-08-21
https://www.class-central.com/mooc/722/coursera-from-the-big-bang-to-dark-energy,2015-08-21
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,2015-08-21
https://www.class-central.com/mooc/2286/coursera-corporate-finance-essentials,2015-08-21
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,2015-08-21
https://www.class-central.com/mooc/418/coursera-introduction-to-philosophy,2015-08-21
https://www.class-central.com/mooc/912/coursera-financial-markets,2015-08-21
https://www.class-central.com/mooc/3479/edx-uinov8x-user-innovation-a-path-to-entrepreneurship,2015-08-21
https://www.class-central.com/mooc/947/edx-gse1-1x-unlocking-the-immunity-to-change-a-new-approach-to-personal-improvement,2015-08-21
https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps,2015-08-21
https://www.class-central.com/mooc/2294/coursera-foundations-of-e-commerce,2015-08-21
https://www.class-central.com/mooc/2945/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-2,2015-08-21
https://www.class-central.com/mooc/2731/coursera-fog-networks-and-the-internet-of-things,2015-08-21
https://www.class-central.com/mooc/2338/coursera-understanding-video-games,2015-08-21
https://www.class-central.com/mooc/1957/coursera-programming-for-everybody-python,2015-08-21
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,2016-04-05
https://www.class-central.com/mooc/835/coursera-machine-learning,2015-08-27
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,2015-08-27
https://www.class-central.com/mooc/1381/coursera-introduction-to-systems-engineering,2015-08-27
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,2015-12-01
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,2015-06-26
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,2015-06-26
