id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
/u/289067,['Language'],,,,,,,,,,,,,,,,,,,,,,,,,,
/u/253778,"['Language', 'Finance', 'Mobile and Web Development', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Personal Development', 'Data Analysis', 'Data Analysis', 'Computer Science', 'Communication', 'Physics', 'Computer Science', 'Communication', 'Computer Science', 'Computer Science', 'Data Analysis & Statistics', 'Data Analysis & Statistics']",['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,
/u/256919,['Machine Learning'],['History'],"['Other Languages', 'History', 'Biology', 'Biology', 'Other Languages', 'Education']","['Marketing', 'Finance', 'Finance', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,
/u/204043,"['Other Languages', 'Software Development', 'Software Development', 'Software Development', 'Software Development', 'Software Development']",['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,
/u/12576,"['Other Languages', 'https://www.class-central.com/mooc/2385/coursera-the-american-south-its-stories-music-and-art', 'https://www.class-central.com/mooc/731/coursera-fundamentals-of-rehearsing-music-ensembles', 'Music and Art', 'History', 'https://www.class-central.com/mooc/4429/coursera-music-business-foundations', 'Music and Art', 'Data Analysis', 'Philosophy', 'Music and Art', 'Other Languages', 'Other Languages', 'Philosophy', 'Music and Art', 'Humanities', 'Humanities', 'Art & Culture', 'Music and Art', 'History', 'History', 'History', 'History', 'History', 'History', 'Humanities', 'History', 'History', 'History', 'History', 'History', 'Music', 'Art & Culture', 'Humanities', 'Music', 'Humanities', 'History', 'Literature', 'Humanities', 'Humanities', 'Humanities', 'Music', 'Music', 'Music', 'Art & Culture', 'Art & Culture', 'Humanities', 'Humanities', 'Humanities', 'Social Sciences', 'Social Sciences', 'Economics & Finance', 'Literature', 'Humanities', 'Humanities', 'Humanities', 'Humanities', 'Humanities', 'Music and Art', 'Humanities', 'History', 'Social Sciences']",['Governance and Society'],,,,,,,,,,,,,,,,,,,,,,,,,
/u/139308,"['Business & Management', 'Physics', 'Engineering']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/245284,"['Entrepreneurship', 'Design and Product', 'Finance']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/132883,"['Health & Safety', 'Business & Management', 'Electronics']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/218258,['Software Development'],,,,,,,,,,,,,,,,,,,,,,,,,,
/u/408370,['Software Development'],,,,,,,,,,,,,,,,,,,,,,,,,,
/u/548,"['Software Development', 'https://www.class-central.com/mooc/4654/coursera-uso-de-tecnicas-estadisticas-para-el-analisis-de-datos', 'Data Analysis & Statistics', 'https://www.class-central.com/mooc/5752/edx-algorithms', 'Computer Science', 'Data Analysis & Statistics']",,,,,,,,,,,,,,,,,,,,,,,,,,
/@dhawal,['Computer Security and Networks'],,,,,,,,,,,,,,,,,,,,,,,,,,
/u/222521,"['Software Development', 'Software Development']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/161851,['Algorithms'],"['Software Development', 'Algorithms']",,,,,,,,,,,,,,,,,,,,,,,,,
/u/12100,"['Data Analysis & Statistics', 'Math', 'Math', 'Data Analysis & Statistics']",['Math'],['Algorithms'],['Math and Logic'],,,,,,,,,,,,,,,,,,,,,,,
/u/161350,['Software Development'],,,,,,,,,,,,,,,,,,,,,,,,,,
/u/41235,"['Software Development', 'Nutrition', 'Mobile and Web Development', 'Personal Development', 'Computer Science', 'Computer Science']",['Mobile and Web Development'],,,,,,,,,,,,,,,,,,,,,,,,,
/u/106053,"['Software Development', 'Medicine & Healthcare', 'Machine Learning', 'Psychology', 'Software Development', 'Software Development']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/161357,"['Data Analysis & Statistics', 'Law', 'Communication']",['Governance and Society'],,,,,,,,,,,,,,,,,,,,,,,,,
/u/242639,"['Software Development', 'Software Development', 'Algorithms', 'Data Analysis', 'Math and Logic', 'Bioinformatics', 'Algorithms', 'Data Analysis', 'Computer Security and Networks', 'Computer Security and Networks', 'Mobile and Web Development', 'Software Development', 'Software Development', 'Software Development', 'Software Development', 'Software Development', 'Machine Learning', 'Data Analysis', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/107311,"['Software Development', 'Software Development']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/208620,"['Software Development', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/73817,"['Physics', 'Physics', 'Physics']","['Software Development', 'Algorithms']",['Physics and Astronomy'],,,,,,,,,,,,,,,,,,,,,,,,
/u/145826,"['Computer Science', 'Software Development', 'Computer Security and Networks', 'Computer Science', 'Data Analysis & Statistics', 'Computer Science', 'Math and Logic', 'Computer Science', 'Computer Science', 'Data Analysis & Statistics', 'Data Analysis & Statistics', 'Data Analysis & Statistics', 'Machine Learning']",,,,,,,,,,,,,,,,,,,,,,,,,,
/u/202145,"['Software Development', 'Personal Development']",,,,,,,,,,,,,,,,,,,,,,,,,,
