cliq,freq
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Software Development']",99
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Math and Logic']",96
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Education']",93
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Computer Science']",93
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Social Sciences']",93
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Environmental Studies']",90
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Law']",90
"['Biology & Life Sciences', 'Computer Science', 'Computer Science', 'Humanities']",90
"['Biology & Life Sciences', 'Communication', 'Computer Science', 'Computer Science']",90
"['Biology & Life Sciences', 'Computer Science', 'Math and Logic', 'Software Development']",81
"['Biology & Life Sciences', 'Computer Science', 'Education', 'Software Development']",78
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Software Development']",78
"['Biology & Life Sciences', 'Computer Science', 'Social Sciences', 'Software Development']",78
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Education']",75
"['Biology & Life Sciences', 'Computer Science', 'Education', 'Math and Logic']",75
"['Biology & Life Sciences', 'Computer Science', 'Education', 'Social Sciences']",75
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Math and Logic']",75
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Social Sciences']",75
"['Biology & Life Sciences', 'Computer Science', 'Math and Logic', 'Social Sciences']",75
"['Biology & Life Sciences', 'Computer Science', 'Environmental Studies', 'Software Development']",73
"['Biology & Life Sciences', 'Communication', 'Computer Science', 'Environmental Studies']",73
"['Biology & Life Sciences', 'Communication', 'Computer Science', 'Law']",73
"['Biology & Life Sciences', 'Communication', 'Computer Science', 'Software Development']",73
"['Biology & Life Sciences', 'Computer Science', 'Environmental Studies', 'Math and Logic']",72
"['Biology & Life Sciences', 'Computer Science', 'Law', 'Math and Logic']",72
"['Biology & Life Sciences', 'Computer Science', 'Humanities', 'Math and Logic']",72
"['Biology & Life Sciences', 'Communication', 'Computer Science', 'Math and Logic']",72
"['Biology & Life Sciences', 'Computer Science', 'Environmental Studies', 'Social Sciences']",72
"['Biology & Life Sciences', 'Business & Management', 'Computer Science', 'Environmental Studies']",72
"['Biology & Life Sciences', 'Computer Science', 'Environmental Studies', 'Law']",72
