title,provider,school,rating,review_count,language,price,description,url,course_id
ñéÏÐÍ¯ÓÛÕöÞÈæ¨ìÑÚª£­£­òÚã·üÕ,Coursera,National Taiwan University,4,1,,FREE,ÜâÎ¤ïïãÀíÂ?ÕöÞÈìýÚ¦÷×ãÛì»àâÍª£¬ñìïÇî¤åÚí¾ë¦ÕöÞÈ?ëÀ?Û¡ÔÒùÊîÜÞÖë«£¬ì»ÞªÛÎáéÕöÞÈò±ãÛ¡£Îýô÷îÜÎ¤ïïÙÍøö£¬ãÀ?ÖõåÓáóÎ¤ÔÒùÊÊïÓð£º £¨ìé£©êóö¬£ºñìãæÛ¡úÞùÊã§ÕöÞÈîÜäÅö¬¡£ £¨ì££©êóéÄ£ºñìãæìããÛùÊã§ÕöÞÈîÜÊ¤?¡£,/enroll?course_id=1192,1192
El ABC del emprendimiento esbelto,Coursera,Tecnol?gico de Monterrey,4,1,,FREE,"A trav?s de diferentes actividades de campo el participante vive personalmente el proceso emprendedor, aprendiendo los conceptos del curso principalmente con base en la experimentaci?n.",/enroll?course_id=1195,1195
Egiptolog?a (Egyptology),Coursera,Universitat Aut?noma de Barcelona,3,3,,FREE,"Este curso introduce a los estudiantes de grado y al p?blico de habla hispana en general en los aspectos m?s relevantes de la lengua, la historia y la cultura del Egipto de los faraones.",/enroll?course_id=1199,1199
Virology I: How Viruses Work,Coursera,Columbia University,5,5,,FREE,Introductory virology course emphasizing the common reactions that must be completed by all viruses for successful reproduction within a host cell.,/enroll?course_id=3195,3195
"Diabetes: Diagnosis, Treatment, and Opportunities",Coursera,"University of California, San Francisco",4,3,,FREE,"This multidisciplinary course will emphasize the diagnosis and treatment of diabetes. Topics will include patient self-management, appropriate use of technologies, nutrition, behavior modification and pharmacotherapy in the management of this disease. The course will conclude by summarizing new basic science research regarding the pathophysiology and treatment of diabetes.",/enroll?course_id=3199,3199
Introduction to Recommender Systems,Coursera,University of Minnesota,4,8,,FREE,"This course introduces the concepts, applications, algorithms, programming, and design of recommender systems--software systems that recommend products or information, often based on extensive personalization. Learn how web merchants such as Amazon.com personalize product suggestions and how to apply the same techniques in your own systems!",/enroll?course_id=3336,3336
Linear Circuits,Coursera,Georgia Institute of Technology,4,5,,FREE,"Learn the analysis of circuits including resistors, capacitors, and inductors. This course is directed towards people who are in science or engineering fields outside of the disciplines of electrical or computer engineering.",/enroll?course_id=3354,3354
Introduction to Computational Arts,Coursera,The State University of New York,4,5,,FREE,"This multidisciplinary production class serves as an introduction to, and exploration of electronic media in the arts. Lectures will cover concepts and presentations of artists working in various capacities with computers, as well as tutorials on specific software packages.",/enroll?course_id=3360,3360
21st Century American Foreign Policy,Coursera,Duke University,3,3,,FREE,"What is American foreign policy? Who makes it? Why is it the way it is? How does it affect the rest of the world? Professor Bruce Jentleson has taught the subject for over 30 years, written one of the leading books on it, and has served in numerous U.S. foreign policy positions.",/enroll?course_id=3361,3361
Understanding and Improving the US Healthcare System,Coursera,University of Michigan,4,3,,FREE,"In this course, you will learn about the structure, accomplishments, and shortcomings of the US healthcare system, and how those have prompted attempts at health policy and reform. You will also take part in a unique, national group exercise, designed to help you understand questions about the 2010 Affordable Care Act and how you can improve the US healthcare system.",/enroll?course_id=3460,3460
Principles of Reactive Programming,Coursera,?cole polytechnique f?d?rale de Lausanne,4,8,,FREE,Learn how to write composable software that stays responsive at all times by being elastic under load and resilient in the presence of failures. Model systems after human organizations or inter-human communication.,/enroll?course_id=3555,3555
"Making Better Group Decisions: Voting, Judgement Aggregation and Fair Division",Coursera,"University of Maryland, College Park",4,3,,FREE,"Learn about different voting methods and fair division algorithms, and explore the problems that arise when a group of people need to make a decision.",/enroll?course_id=3611,3611
History of the Slave South,Coursera,University of Pennsylvania,4,4,,FREE,This course explores the relationship between slavery and democracy at the heart of American history. It is about the rise and fall of the slave South from the beginning of the seventeenth century to the end of the American Civil War.,/enroll?course_id=6266,6266
Evaluation financi?re de l'entreprise,Coursera,HEC Paris,5,2,,FREE,"A l'issue de ce MOOC, vous serez capables de comprendre ce qui justifie la valorisation d'une entreprise et vous pourrez en r?aliser par vous m?me.",/enroll?course_id=6471,6471
History and Future of (Mostly) Higher Education,Coursera,Duke University,4,3,,FREE,"In this course we will learn about the features of higher education that were designed specifically to prepare workers and leaders for the Industrial Age, and we¡¯ll strategize ways that, together, we can change learning--inside of school and out--for the world we live in now--and even to help improve our world. #FutureEd",/enroll?course_id=6814,6814
Practical Ethics,Coursera,Princeton University,4,1,,FREE,Is abortion wrong? Should we eat animals? What is our responsibility to the world¡¯s poor? This course will encourage you to examine your ethical beliefs on topics relevant to the ancient question posed by Socrates: ¡°How am I to live?¡±,/enroll?course_id=6820,6820
Logic: Language and Information 1,Coursera,The University of Melbourne,4,8,,FREE,"This is an introduction to formal logic and how it is applied in computer science, electronic engineering, linguistics and philosophy. You will learn propositional logic?its language, interpretations and proofs, and apply it to solve problems in a wide range of disciplines.",/enroll?course_id=12636,12636
Logic: Language and Information 2,Coursera,The University of Melbourne,4,1,,FREE,"This is an introduction to predicate logic and how it is applied in computer science, electronic engineering, linguistics, mathematics and philosophy. Building on your knowledge of propositional logic, you will learn predicate logic?its language, interpretations and proofs, and apply it to solve problems in a wide range of disciplines.",/enroll?course_id=12637,12637
¬°¬ã¬ß¬à¬Ó¬í ¬Ü¬à¬â¬á¬à¬â¬Ñ¬ä¬Ú¬Ó¬ß¬í¬ç ¬æ¬Ú¬ß¬Ñ¬ß¬ã¬à¬Ó (Fundamentals of Corporate Finance),Coursera,Higher School of Economics,2,1,,FREE,"¬®¬í ¬â¬Ñ¬ã¬ã¬Þ¬à¬ä¬â¬Ú¬Þ ¬á¬â¬Ú¬ß¬è¬Ú¬á¬í ¬Ú ¬Þ¬à¬Õ¬Ö¬Ý¬Ú ¬æ¬Ú¬ß¬Ñ¬ß¬ã¬à¬Ó¬à¬Ô¬à ¬Ñ¬ß¬Ñ¬Ý¬Ú¬Ù¬Ñ ¬Ü¬à¬Þ¬á¬Ñ¬ß¬Ú¬Ú, ¬Ñ ¬ä¬Ñ¬Ü¬Ø¬Ö ¬à¬è¬Ö¬ß¬Ü¬å ¬ã¬ä¬â¬Ñ¬ä¬Ö¬Ô¬Ú¬é¬Ö¬ã¬Ü¬Ú¬ç ¬â¬Ö¬ê¬Ö¬ß¬Ú¬Û ¬Ü¬à¬Þ¬á¬Ñ¬ß¬Ú¬Ú ¬ã ¬ä¬à¬é¬Ü¬Ú ¬Ù¬â¬Ö¬ß¬Ú¬ñ ¬Ú¬ç ¬Ó¬Ý¬Ú¬ñ¬ß¬Ú¬ñ ¬ß¬Ñ ¬æ¬å¬ß¬Õ¬Ñ¬Þ¬Ö¬ß¬ä¬Ñ¬Ý¬î¬ß¬å¬ð ¬ã¬ä¬à¬Ú¬Þ¬à¬ã¬ä¬î ¬Ü¬à¬Þ¬á¬Ñ¬ß¬Ú¬Ú. In this course you will learn the principles and models of financial analysis of a firm based on the criteria of value creation.",/enroll?course_id=12652,12652
Core Concepts in Data Analysis,Coursera,Higher School of Economics,3,1,,FREE,"Learn both theory and application for basic methods that have been invented either for developing new concepts ? principal components or clusters, or for finding interesting correlations ? regression and classification. This is preceded by a thorough analysis of 1D and 2D data.",/enroll?course_id=12653,12653
Data Analysis and Statistical Inference,Coursera,Duke University,5,20,,FREE,"The Coursera course, Data Analysis and Statistical Inference has been revised and is now offered as part of Coursera Specialization ¡°Statistics with R¡±. This course introduces you to the discipline of statistics as a science of understanding and analyzing data. You will learn how to effectively make use of data in the face of uncertainty: how to collect data, how to analyze data, and how to use data to make inferences and conclusions about real world phenomena.",/enroll?course_id=12695,12695
Climate Change in Four Dimensions,Coursera,"University of California, San Diego",4,3,,FREE,"This course views climate change from a variety of perspectives at the intersection of the natural sciences, technology, and the social sciences and humanities.",/enroll?course_id=12696,12696
Discrete Inference and Learning in Artificial Vision,Coursera,CentraleSup?lec,4,1,,FREE,"We will present the state of the art energy minimization algorithms that are used to perform inference in modern artificial vision models: that is, efficient methods for obtaining the most likely interpretation of a given visual input. We will also cover the popular max-margin framework for estimating the model parameters using inference.",/enroll?course_id=12697,12697
An Introduction to Functional Analysis,Coursera,CentraleSup?lec,4,8,,FREE,Learn about functional analysis,/enroll?course_id=12699,12699
Practicing Tolerance in a Religious Society: The Church and the Jews in Italy,Coursera,"University of Maryland, College Park",2,2,,FREE,"What social and ideological mechanisms allowed Jews to survive and even flourish in Catholic Italy? And under what circumstances did the practice of tolerance break down? This course takes a different approach to the idea of tolerance, as well as to the long, complicated history of the Catholic Church and the Jews.",/enroll?course_id=12705,12705
Ñ¦ÐïùÊã§Ðñà´ (Machine Learning Foundations),Coursera,National Taiwan University,4,1,,FREE,"Machine learning is the study that allows computers to adaptively improve their performance with experience accumulated from the data observed. The course teaches the most fundamental algorithmic, theoretical and practical tools that any user of machine learning needs to know. [Ñ¦ÐïùÊã§ò©î¤åÓï³ÒàÒöë¦íÀÖùñé×«îÝîÜÌèúÐÕÎí»ä²òäÜÆ¡£ÜâÎ¤ïïíâË¿áÉÊÀÖÅæ´ñéîÜÑ¦ÐïùÊã§ÞÅéÄíºÔ´ëëú±ò±Ô³îÜÐñõ¨æÑß©Ûö¡¢×âÖåÐàãùÙâÍïÎý¡£]",/enroll?course_id=12707,12707
Marine Megafauna: An Introduction to Marine Science and Conservation,Coursera,Duke University,4,1,,FREE,"An introduction to the basics of marine science and conservation, brought to you with the help of sea turtles, marine mammals, seabirds and many more of the most compelling creatures in the ocean.",/enroll?course_id=12749,12749
Technology and Ethics,Coursera,The Ohio State University,1,6,,FREE,"The meteoric rise of technologies used in our everyday life for profit, power, or improvement of an individual's life can, on occasion, cause cultural stress as well as ethical challenges. In this course, we will explore how these multifaceted impacts might be understood, controlled and mitigated.",/enroll?course_id=14150,14150
Analyzing Global Trends for Business and Society,Coursera,University of Pennsylvania,4,4,,FREE,What does the future hold for global markets? How are societies and cultures evolving? Who will be global powers of the 21st century? Take this class and find out how global trends are transforming business and society.,/enroll?course_id=14381,14381
Massively Multivariable Open Online Calculus Course,Coursera,The Ohio State University,4,4,,FREE,"M2O2C2 provides a first taste of multivariable differential calculus. By introducing the machinery of linear algebra, this course provides helpful tools for understanding the derivative of a function of many variables.",/enroll?course_id=16068,16068
Marriage and the Movies: A History,Coursera,Wesleyan University,4,1,,FREE,"The topic of marriage in the movies has always provided a fascinating reflection of changing social attitudes, shifting morals and gender roles. We will explore how films have defined marriage, identified seven core problems, and varied its three narrative components -- a couple, their problems, their situation -- from decade to decade from the silent to the modern era.",/enroll?course_id=16089,16089
Introduction to Computational Arts: Audio,Coursera,The State University of New York,2,2,,FREE,"In this 6-week course we¡¯ll introduce the fundamentals of digital audio. The course will provide the essentials of recording and editing sound, and culminates with a piece using both recorded and synthesized sound.",/enroll?course_id=19166,19166
D?couvrir la science politique,edX,Universit? catholique de Louvain,4,13,,"FREE, Add a Verified Certificate for $50","Le politique nous concerne tous : chaque jour, des d?cisions publiques sont adopt?es qui impactent notre quotidien. Dans quel contexte ces d?cisions sont-elles adopt?es ? Au 21?me si?cle, de nombreux paradoxes brouillent la vision que nous pouvons en avoir. Qu¡¯est-ce que le pouvoir dans la soci?t? actuelle ? Quels acteurs en d?tiennent?? L¡¯?tat demeure-t-il un acteur politique majeur s¡¯il est concurrenc? par des organisations internationales et r?gionales ? Comment la d?mocratie pr?n?e par la communaut? internationale se diff?rencie-t-elle des r?gimes autoritaires voire totalitaires ??Quelle est la place des id?ologies dans le monde actuel ??Le cours vise ? comprendre et ? expliquer des ph?nom?nes politiques ? partir d¡¯une posture d¡¯analyse critique. Politics impact all of us: everyday political decisions impact many areas of our lives. In which context are these decisions made? In the 21st century, many paradoxes... Le politique nous concerne tous : chaque jour, des d?cisions publiques sont adopt?es qui impactent notre quotidien. Dans quel contexte ces d?cisions sont-elles adopt?es ? Au 21?me si?cle, de nombreux paradoxes brouillent la vision que nous pouvons en avoir. Qu¡¯est-ce que le pouvoir dans la soci?t? actuelle ? Quels acteurs en d?tiennent?? L¡¯?tat demeure-t-il un acteur politique majeur s¡¯il est concurrenc? par des organisations internationales et r?gionales ? Comment la d?mocratie pr?n?e par la communaut? internationale se diff?rencie-t-elle des r?gimes autoritaires voire totalitaires ??Quelle est la place des id?ologies dans le monde actuel ??Le cours vise ? comprendre et ? expliquer des ph?nom?nes politiques ? partir d¡¯une posture d¡¯analyse critique. Politics impact all of us: everyday political decisions impact many areas of our lives. In which context are these decisions made? In the 21st century, many paradoxes blur our vision of these decisions. What is power in a multi-level society? Does the state remain the main political actor, if it is in competition with international and regional organizations? Can democracy ? pushed forward by the international community ? coexist with authoritarian, or even totalitarian, regimes??What is the role of ideologies in contemporary politics??The course aims at understanding and explaining political phenomena from a critical standpoint.? read more read less",/enroll?course_id=69224&direct_enroll=true,69224
Artificial Intelligence Planning,Coursera,The University of Edinburgh,3,5,,FREE,"The course aims to provide a foundation in artificial intelligence techniques for planning, with an overview of the wide spectrum of different problems and approaches, including their underlying theory and their applications.",/enroll?course_id=92,92
Science from Superheroes to Global Warming,Coursera,"University of California, Irvine",3,4,,FREE,"Explore how science works and what constitutes ""good"" science through case studies drawn from a wide spectrum of people's experience, for example superheros, movies, and real world issues such as global warming.",/enroll?course_id=194,194
Pensamiento algor?tmico,Coursera,Tecnol?gico de Monterrey,4,1,,FREE,¢¯Qu? es un algoritmo? ¢¯C?mo se hace un diagrama de flujo? ¢¯Qu? es un pseudoc?digo? ¢¯C?mo me pueden ayudar a resolver problemas cotidianos? Este curso b?sico de computaci?n te ayudar? a desarrollar el pensamiento algor?tmico necesario para solucionar problemas en forma estructurada.,/enroll?course_id=17356,17356
Deciphering Secrets: Unlocking the Manuscripts of Medieval Spain,Coursera,University of Colorado System,4,1,,FREE,"In this course students will explore the history of Jews, Christians, and Muslims in late medieval, fifteenth century Spain. Serving as citizen-scholars, students will learn about the positive and negative elements of inter-religious co-existence in Plasencia, Spain, and more importantly, contribute to an international scholarly effort by helping transcribe manuscripts.",/enroll?course_id=19349,19349
Mining Massive Datasets,Coursera,Stanford University,4,7,,FREE,This class teaches algorithms for extracting models and other information from very large amounts of data. The emphasis is on techniques that are efficient and that scale well.,/enroll?course_id=25295,25295
Interactive Computer Graphics with WebGL,Coursera,University of New Mexico,3,1,,FREE,"Applications of computer graphics are ubiquitous, ranging from animations in movies to computer aided design of mechanical parts. In this course, we will learn how to create three-dimensional interactive applications using WebGL that run within the latest web browsers. We will disucss all aspects of computer graphics from hardware to software to applications.",/enroll?course_id=28798,28798
Shakespeare in Community,Coursera,University of Wisconsin?Madison,3,3,,FREE,"Shakespeare in Community will introduce a broad audience of learners to Shakespeare, as we collectively read, watch, and engage four plays: Romeo and Juliet, A Midsummer Night¡¯s Dream, Much Ado About Nothing, and The Tempest.",/enroll?course_id=29858,29858
Buscar en Internet,edX,Universitat Polit?cnica de Valencia,5,3,,"FREE, Add a Verified Certificate for $49","En un mundo virtual en el que hay cientos de millones de p?ginas disponibles con informacion de todo tipo, buscar en Internet de forma eficaz es una habilidad cada d?a m?s necesaria. Aprende con nosotros a separar el grano de la paja usando las herramientas disponibles y realizando las preguntas de forma adecuada. ? En el curso aprender?s a planificar una b?squeda desde el comienzo y a utilizar las diversas herramientas que Internet pone a tu alcance para que encuentres aquello que necesitas. Veremos herramientas para buscar v?deos, im?genes, contenido libre de derechos e informaci?n institucional, entre otras muchas cosas.",/enroll?course_id=34453&direct_enroll=true,34453
Implantar Grupos de Mejora de Procesos,edX,Universitat Polit?cnica de Valencia,4,2,,FREE,"Cuando hacer las cosas bien no es suficiente, necesitamos convertir la mejora continua en un lema diario para todos los trabajadores de la empresa. Para ello necesitamos conocer t?cnicas que nos ayuden a realizar esta tarea de manera m?s sistem?tica para que, por un lado tengamos mejores resultados y, por otro, no nos dispersemos con las urgencias de un d?a a d?a ca?tico. En este curso, aprender?s a definir problemas/oportunidades, y a convertirlas en un proyecto de mejora. Descubrir?s c?mo construir un equipo que se haga cargo de estos proyectos y conocer?s y practicaras diferentes t?cnicas para la resoluci?n de problemas en grupo. Al finalizar el curso ser?s capaz de participar en grupos de resoluci?n de problemas quesean capaces de mejorar la eficiencia de las organizaciones.?",/enroll?course_id=34658&direct_enroll=true,34658
Formulaci?n y nomenclatura de compuestos qu?micos,edX,Universitat Polit?cnica de Valencia,4,1,,"FREE, Add a Verified Certificate for $49","Toda la materia est? formada por elementos o compuestos qu?micos que son resultado de la combinaci?n de ?tomos. Cada compuesto presenta una determinada composici?n que se corresponde con una f?rmula y se identifica con un nombre. La formulaci?n y la nomenclatura sirven para clasificar y nombrar las diferentes clases de sustancias. Este curso va dirigido a los alumnos que acceden a la Universidad, especialmente, aquellos que no han cursado Qu?mica y que requieren de los conocimientos b?sicos en estos aspectos. ? En este curso aprender?s las normas que se utilizan para establecer las f?rmulas de las sustancias y especies qu?micas, as? como las reglas necesarias para nombrarlas. De este modo, podr?s identificar y nombrar correctamente los compuestos qu?micos inorg?nicos y org?nicos m?s comunes. ? Las unidades del curso son:? Introducci?n y nomenclatura de sustancias inorg?nicas Sustancias binarias Sustancias... Toda la materia est? formada por elementos o compuestos qu?micos que son resultado de la combinaci?n de ?tomos. Cada compuesto presenta una determinada composici?n que se corresponde con una f?rmula y se identifica con un nombre. La formulaci?n y la nomenclatura sirven para clasificar y nombrar las diferentes clases de sustancias. Este curso va dirigido a los alumnos que acceden a la Universidad, especialmente, aquellos que no han cursado Qu?mica y que requieren de los conocimientos b?sicos en estos aspectos. ? En este curso aprender?s las normas que se utilizan para establecer las f?rmulas de las sustancias y especies qu?micas, as? como las reglas necesarias para nombrarlas. De este modo, podr?s identificar y nombrar correctamente los compuestos qu?micos inorg?nicos y org?nicos m?s comunes. ? Las unidades del curso son:? Introducci?n y nomenclatura de sustancias inorg?nicas Sustancias binarias Sustancias terciarias Sustancias cuaternarias Introducci?n a la formulaci?n y nomenclatura de compuestos org?nicos Hidrocarburos Funciones halogenadas Funciones oxigenadas Funciones nitrogenadas Compuestos con dos o m?s grupos funcionales read more read less",/enroll?course_id=41146&direct_enroll=true,41146
Applied Regression Analysis,Coursera,The Ohio State University,4,2,,FREE,Regression modeling is the standard method for analysis of continuous response data. This course provides theoretical and practical training in statistical modeling with particular emphasis on linear and multiple regression.,/enroll?course_id=43473,43473
Sagas and Space - Thinking Space in Viking Age and Medieval Scandinavia,Coursera,University of Zurich,4,1,,FREE,Explore with us the fascinating ways of thinking about space in Viking Age and Old Norse culture. Together we will discuss how space is conceptualised and depicted in diverse Old Norse genres and traditions.,/enroll?course_id=44021,44021
Enhancing Teacher Education Through OER,edX,Open Education Consortium,4,23,,FREE,"All over the world, including India, there is an aspiration that every student should be actively engaged in their learning. Achieving this aspiration demands highly skilled teachers and quality teacher education.? ? This course introduces teacher educators to Open Educational Resources ? freely available learning materials that can be adapted for use in particular contexts.? The course explores how you can use OER in the design and delivery of your teacher education programmes to help you bring about the transformation of classroom teaching and learning.?? Throughout the course there will be a particular focus on the OER generated by TESS- India. These innovative multi-lingual text and video OER (www.tess-india.edu.in) aim to support teachers in developing participatory approaches through modelling links between theory and practice in classroom activities.?? You will explore the values and pedago... All over the world, including India, there is an aspiration that every student should be actively engaged in their learning. Achieving this aspiration demands highly skilled teachers and quality teacher education.? ? This course introduces teacher educators to Open Educational Resources ? freely available learning materials that can be adapted for use in particular contexts.? The course explores how you can use OER in the design and delivery of your teacher education programmes to help you bring about the transformation of classroom teaching and learning.?? Throughout the course there will be a particular focus on the OER generated by TESS- India. These innovative multi-lingual text and video OER (www.tess-india.edu.in) aim to support teachers in developing participatory approaches through modelling links between theory and practice in classroom activities.?? You will explore the values and pedagogy underpinning teacher education OER from TESS-India and other repositories and learn how you can adapt and incorporate these OER for your own contexts and students.? ? Through participation in the course you will develop skills in locating, adapting and producing OER. Collaboration and the co-creation of OER will be key themes; you will be introduced to ways of working and open practices that you will be able to take forward into your professional working.? Through the course you may also form and strengthen your professional support network of fellow teacher educators.? ? The course is designed primarily for teacher educators working in the Indian context in both pre-service and in-service education with primary and secondary school teachers in formal and informal programmes. However it has significant application for teacher educators globally.? All course content is openly licensed under a Creative Commons Attribution Share Alike license. You are free to translate, modify and repurpose course materials as long as you provide attribution to the TESS-India project and share under the same licence. For more information on Creative Commons licenses, please see?http://creativecommons.org/about/license/ read more read less",/enroll?course_id=45189&direct_enroll=true,45189
Gesti?n de Proyectos de Desarrollo,edX,Inter-American Development Bank,4,169,,"FREE, Add a Verified Certificate for $25","*** Este curso ser? impartido en espa?ol. *** Uno de los retos que enfrentan d?a a d?a las instituciones p?blicas, organismos no gubernamentales, agencias de desarrollo y otros actores que promueven el desarrollo econ?mico y social en Am?rica Latina y el Caribe, es c?mo transformar propuestas en realidades concretas que mejoren el bienestar de la sociedad y logren que estos resultados se obtengan dentro del tiempo y recursos? disponibles. Este curso presenta conceptos y herramientas que pueden ser aplicados en la gesti?n de proyectos y que pueden generar un cambio sustancial para alcanzar los objetivos propuestos. De esta manera, este MOOC se propone fortalecer la capacidad de gesti?n de proyectos de desarrollo en la Regi?n para que sean ejecutados en forma eficiente y efectiva. Este curso incluye casos pr?cticos que ayudan a comprender los conceptos y herramientas clave para la gesti?n de proyectos, presentaciones por ... *** Este curso ser? impartido en espa?ol. *** Uno de los retos que enfrentan d?a a d?a las instituciones p?blicas, organismos no gubernamentales, agencias de desarrollo y otros actores que promueven el desarrollo econ?mico y social en Am?rica Latina y el Caribe, es c?mo transformar propuestas en realidades concretas que mejoren el bienestar de la sociedad y logren que estos resultados se obtengan dentro del tiempo y recursos? disponibles. Este curso presenta conceptos y herramientas que pueden ser aplicados en la gesti?n de proyectos y que pueden generar un cambio sustancial para alcanzar los objetivos propuestos. De esta manera, este MOOC se propone fortalecer la capacidad de gesti?n de proyectos de desarrollo en la Regi?n para que sean ejecutados en forma eficiente y efectiva. Este curso incluye casos pr?cticos que ayudan a comprender los conceptos y herramientas clave para la gesti?n de proyectos, presentaciones por parte de certificados Project Management Professional? (PMP)¢çcon amplia experiencia en el tema, foros de discusi?n y lecturas seleccionadas. La base conceptual de este curso es la metodolog?a PM4R (Project Management for Results), desarrollada por el Instituto Interamericano de Desarrollo Econ?mico y Social (INDES) del BID, cuyos contenidos est?n basados en Project Management Institute, A Guide to the Project Management Body of Knowledge, (PMBOK¢ç Guide)- Fifth Edition, Project Management Institute, Inc., 2013. Aunque estas buenas pr?cticas han estado presentes durante muchos a?os en los proyectos corporativos privados, en los ?ltimos a?os el BID ha estado liderando el proceso de su incorporaci?n progresiva en el sector p?blico y en los proyectos de desarrollo, contribuyendo a la construcci?n de realidades que mejoran vidas. El INDES, como Registered Education Provider (R.E.P.), ha sido aprobado por el Project Management Institute (PMI)¢ç para otorgar 30 unidades de desarrollo profesional (PDUs) si obtienes el certificado de este curso. Si tienes alguna pregunta, escr?benos a idbx@iadb.org? Este MOOC ha sido certificado por Quality Matters (QM), organizaci?n sin ?nimo de lucro reconocida como l?der en el aseguramiento de la calidad de la educaci?n en l?nea. QM ha desarrollado un conjunto de est?ndares de calidad para el dise?o de cursos cuyo cumplimiento ha sido certificado en este MOOC a trav?s de un riguroso proceso de revisi?n de pares expertos para garantizar la efectividad del aprendizaje. La preparaci?n de este curso fue financiada por el Fondo de Fortalecimiento de la Capacidad Institucional (ICSF), gracias al aporte del Gobierno de la Rep?blica Popular de China. PMBOK es una marca registrada del Project Management Institute, Inc. read more read less",/enroll?course_id=45473&direct_enroll=true,45473
Evaluaci?n de Impacto de Programas Sociales,edX,Massachusetts Institute of Technology,4,6,,"FREE, Add a Verified Certificate for $49","Este curso introduce las evaluaciones de impacto aleatorizadas (o experimentales) como una herramienta para probar y mejorar la eficacia de programas y pol?ticas sociales. El curso te entregar? los conceptos fundamentales para entender en qu? consisten las evaluaciones de impacto aleatorizadas, por qu? son importantes, c?mo se dise?an e implementan, y c?mo usar sus resultados. Combinando clases te?ricas y casos de estudio basados en evaluaciones reales, el curso presta atenci?n a aspectos como las virtudes de la metodolog?a experimental, los distintos dise?os de aleatorizaci?n posibles y qu? situaciones pueden poner en riesgo la validez interna de un experimento. Asimismo, enfatiza otros temas que son relevantes para cualquier tipo de evaluaci?n de programas, tales como medir adecuadamente los resultados de inter?s, asegurar la calidad de los datos y usar los resultados en el dise?o de programas y pol?ticas nuevas. El cur... Este curso introduce las evaluaciones de impacto aleatorizadas (o experimentales) como una herramienta para probar y mejorar la eficacia de programas y pol?ticas sociales. El curso te entregar? los conceptos fundamentales para entender en qu? consisten las evaluaciones de impacto aleatorizadas, por qu? son importantes, c?mo se dise?an e implementan, y c?mo usar sus resultados. Combinando clases te?ricas y casos de estudio basados en evaluaciones reales, el curso presta atenci?n a aspectos como las virtudes de la metodolog?a experimental, los distintos dise?os de aleatorizaci?n posibles y qu? situaciones pueden poner en riesgo la validez interna de un experimento. Asimismo, enfatiza otros temas que son relevantes para cualquier tipo de evaluaci?n de programas, tales como medir adecuadamente los resultados de inter?s, asegurar la calidad de los datos y usar los resultados en el dise?o de programas y pol?ticas nuevas. El curso de Evaluaci?n de Impacto de Programas Sociales est? dise?ado para m?ltiples tipos de audiencias: funcionarios de instituciones gubernamentales, ONGs, fundaciones y otras organizaciones que dise?an, implementan o financian programas sociales; as? como investigadores, acad?micos y estudiantes en busca de nuevas herramientas de an?lisis. read more read less",/enroll?course_id=45479&direct_enroll=true,45479
